Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
2754,10.532412433314875,39.76436197608845,58.61055235445364,495.6737620787507,2070.64338553438,1252.1363533784734,100.0,1,,,,,True,True,False,False
2755,10.530412433314874,39.8505567467275,58.696747125092685,496.3765333685644,2075.4121907152585,1252.1363533784734,100.0,1,,,,,True,True,False,False
2756,10.528412433314873,39.93815911446447,58.784349492829655,497.0892363285512,2080.2483893723115,1252.1363533784734,100.0,1,,,,,True,True,False,False
2757,10.526412433314873,40.02693685774541,58.8731272361106,497.80991748943666,2085.1387258211776,1252.1363533784734,100.0,1,,,,,True,True,False,False
2758,10.524412433314872,40.11665305514153,58.96284343350672,498.5366015142529,2090.069795989573,1252.1363533784734,100.0,1,,,,,True,True,False,False
2759,10.522412433314871,40.20706665794008,59.05325703630527,499.2672966125985,2095.0280841569183,1252.1363533784734,100.0,1,,,,,True,True,False,False
2760,10.52041243331487,40.29793309054026,59.14412346890545,499.99999999999983,2099.9999999999986,1252.1363533784734,100.0,0,,,,,,,False,False
2761,10.51841243331487,40.38900487780219,59.23519525616738,500.73270338740116,2104.971915843079,1252.1363533784734,100.0,0,,,,,,,False,False
2762,10.51641243331487,40.480032298246094,59.32622267661128,501.4633984857472,2109.930204010427,1252.1363533784734,100.0,0,,,,,,,False,False
2763,10.514412433314869,40.57076406173767,59.416954440102856,502.19008251056295,2114.86127417882,1252.1363533784734,100.0,0,,,,,,,False,False
2764,10.512412433314868,40.660948010032875,59.50713838839806,502.9107636714485,2119.751610627686,1252.1363533784734,100.0,0,,,,,,,False,False
2765,10.510412433314867,40.75033183828771,59.59652221665289,503.62346663143524,2124.5878092847393,1252.1363533784734,100.0,0,,,,,,,False,False
2766,10.508412433314867,40.838663835375414,59.6848542137406,504.32623792124895,2129.356614465618,1252.1363533784734,100.0,0,,,,,,,False,False
2767,10.506412433314866,40.925693640591284,59.77188401895647,505.01715129363396,2134.044955206802,1252.1363533784734,100.0,0,,,,,,,False,False
2768,10.504412433314865,41.01117301407146,59.857363392436646,505.6943130030611,2138.6399810922003,1252.1363533784734,100.0,0,,,,,,,False,False
2769,10.502412433314865,41.094856618010475,59.94104699637566,506.3558669963536,2143.129097475257,1252.1363533784734,100.0,0,,,,,,,False,False
2770,10.500412433314864,41.17650280553118,60.022693183896365,506.9999999999997,2147.499999999998,1252.1363533784734,100.0,0,,,,,,,False,False
